Daily Trend For Total Orders,,,
Row Labels,Sum of total_orders,,
Sunday,2624,,
Monday,2794,,
Tuesday,2973,,
Wednesday,3024,,
Thursday,3238.999999,,
Friday,3537.999999,,
Saturday,3157.999999,,
Grand Total,21350,,
,,,
,,,
,,,
,,,
,,,
,,,
Hourly Trend For Total Orders,,,
Row Labels,Sum of total_orders,,
09,1,,
10,8,,
11,1231,,
12,2520,,
13,2455,,
14,1472,,
15,1468,,
16,1920,,
17,2336,,
18,2399,,
19,2009,,
20,1642,,
21,1198,,
22,663,,
23,28,,
Grand Total,21350,,
,,,
% of Sales by Pizza Category,,,
Row Labels,Sum of total_orders,,
Chicken,22.13%,,
Classic,30.16%,,
Supreme,24.26%,,
Veggie,23.45%,,
Grand Total,100.00%,,
,,,
% of Sales by Pizza Size,,,
Row Labels,Sum of total_price,,
Large,45.89%,,
Medium,30.49%,,
X-Large,1.72%,,
XX-Large,0.12%,,
Regular,21.77%,,
Grand Total,100.00%,,
,,,
,,,
Total Pizzas Sold by Pizza Category,,,
Row Labels,Sum of quantity,Pizza Category,Total pizza sold
Classic,14888,Classic,14888
Supreme,11987,Supreme,11987
Veggie,11649,Veggie,11649
Chicken,11050,Chicken,11050
Grand Total,49574,,
,,,
,,,
,,,
Top 5 Best Sellers by Total pizzas Sold,,,
Row Labels,Sum of quantity,,
The Thai Chicken Pizza,2371,,
The Pepperoni Pizza,2418,,
The Hawaiian Pizza,2422,,
The Barbecue Chicken Pizza,2432,,
The Classic Deluxe Pizza,2453,,
Grand Total,12096,,
,,,
,,,
,,,
,,,
Bottom 5 Worst Sellers by Pizzas Sold,,,
Row Labels,Sum of quantity,,
The Brie Carre Pizza,490,,
The Mediterranean Pizza,934,,
The Calabrese Pizza,937,,
The Spinach Supreme Pizza,950,,
The Soppressata Pizza,961,,
Grand Total,4272,,
